Sentences,Figure_OF_Speech
"I will sing a slumberous refrain, and you shall murmur like a child appeased.",Alliteration
"For she knows me! My heart, clear as a crystal beam / To her alone, ceases to be inscrutable.",Alliteration
"Leaf-strewing gales utter low wails like violins,",Alliteration
He spit out his teeth like stones.,Alliteration
Talk of your cold: through the parka’s fold it stabbed like a driven nail.,Alliteration
Dawn breaks open like a wound that bleeds afresh.,Alliteration
"Like winged stars the fire-flies flash and glance, / Pale in the open moonshine.",Alliteration
"The breath of her false mouth was like faint flowers, / Her touch was as electric poison.",Alliteration
"Then, as a hunted deer that could not flee, I turned upon my thoughts and stood at bay, wounded and weak and panting;",Alliteration
"There are thick woods where many a fountain, rivulet, and pond are as clear as elemental diamond.",Alliteration
"Years heap their withered hours, like leaves, on our decay.",Alliteration
"The ripples wimple on the rills, like sparkling little lasses.",Alliteration
She was like a modest flower blown in sunny June and warm as sun at noon’s high hour.,Alliteration
And the face of the waters that spread away / Was as gray as the face of the dead.,Alliteration
"As in depths of many seas, my heart was drowned in memories.",Alliteration
"Then like a cold wave on a shore, comes silence and she sings no more.",Alliteration
"And shout thy loud battle-cry, cleaving the silence like a sword.",Alliteration
My soul is lost and tossed like a ship unruddered in a shoreless sea.,Alliteration
The clouds like crowds of snowy-hued and white-robed maidens pass,Alliteration
"Dreams, like ghosts, must hide away; / ‘Tis the day.",Alliteration
The evening stretches before me like a road.,Alliteration
I would have hours that move like a glitter of dancers.,Alliteration
Toby manipulated the people in his life as though they were chess pieces.,Alliteration
"And only to think that my soul could not react, but turned on itself like a tortured snake.",Alliteration
There are strange birds like blots against a sky.,Alliteration
"She goes all so softly like a shadow on the hill, a faint wind at twilight.",Alliteration
The horse-chestnuts dropped their buds like tears.,Alliteration
"They walk in awful splendor, regal yet, wearing their crimes like rich and kingly capes.",Alliteration
Death is like moonlight in a lofty wood that pours pale magic through the shadowy leaves.,Alliteration
I was sick of all the sorrow and distress that flourished in the City like foul weeds.,Alliteration
"As I read it in the white, morning sunlight, the letters squirmed like snakes.",Alliteration
"Oh, praise me not the silent folk; / To me they only seem / Like leafless, bird-abandoned oak.",Alliteration
The windflowers and the lilies were yellow striped as adder’s tongue.,Alliteration
I have seen old ships sail like swans asleep.,Alliteration
For the world’s events have rumbled on since those days like traffic.,Alliteration
"And dance as dust before the sun, light of foot and unconfined.",Alliteration
The fishes skim like umber shades through the undulating weeds.,Alliteration
Gather up the undiscovered universe like jewels in a jasper cup.,Alliteration
Janie read a book by the babbling brook.,Alliteration
The child bounced the ball at the backyard barbeque.,Alliteration
The barbarians broke through the barricade.,Alliteration
"He acts silly at times, but he was blessed with a brilliant brain.",Alliteration
The beautiful bouquet blossomed in the bright sun.,Alliteration
"When the canary keeled over, the coal miners left the cave.",Alliteration
The captain couldn’t keep the men in the cabin.,Alliteration
Erin cooked cupcakes in the kitchen.,Alliteration
My Cadillac was completely crushed in a car crash.,Alliteration
The candy was killing my cavity.,Alliteration
"Despite their mother’s warnings, the children chose to chew with their mouths open.",Alliteration
The rich man was so cheap that it was chilling.,Alliteration
The crowd cheered when the champion hit the challenger with a chair.,Alliteration
We sat around the campfire and chomped on chunks of charred chicken.,Alliteration
Change the channel.,Alliteration
"They would have been on time, if they didn’t dilly-dally.",Alliteration
He dunked the delicious donut in dairy creamer.,Alliteration
There is nothing but death in the desert during the day.,Alliteration
"I woke up at school in a slobbery pool; though I used to be dry, now I’m drowning in drool.",Alliteration
I dreamt of a drip-dropping drain in my dream.,Alliteration
Your friends will flip-flop fast when facing trouble.,Alliteration
Our financial future fell into a freefall.,Alliteration
The stuntman flipped from a forty foot Ferris wheel.,Alliteration
I forgot my flip phone but felt free.,Alliteration
That’s the first photo of France from the Moon.,Alliteration
"When the tests were distributed, the guys grimaced and groaned.",Alliteration
The girl grabbed the golden goose and ran.,Alliteration
Grass grows greener in the graveyard.,Alliteration
The ghouls and ghosts greeted the gangly goblins.,Alliteration
I reached under the desk and grabbed the gross gum.,Alliteration
The hummingbirds hovered in heavenly harmony.,Alliteration
She happily helped the homeless.,Alliteration
The hecklers hassled the humble harmonica player.,Alliteration
"After Monique dumped Brian, his heart hung heavily.",Alliteration
Those horses have heavy hooves.,Alliteration
The gentle giant jumped in jubilation.,Alliteration
Juggling jack o’lanterns is my job.,Alliteration
He jabbed the javelin into the jail cell.,Alliteration
Jellyfish have germs and jarring toxins.,Alliteration
The gym was jammed with jelly jars and junk.,Alliteration
"Whenever he lied, he lisped a little.",Alliteration
The lion licked his lips.,Alliteration
"Feeling rather lazy, he laid low in the lounge.",Alliteration
We lamented the Lord’s lost labor.,Alliteration
Her love languished in the limelight.,Alliteration
Menacing sounds of mashing metal machines emanated from the mines.,Alliteration
All of the millionaire’s money only made him more melancholy.,Alliteration
My mother makes a mouthwatering mincemeat pie.,Alliteration
There are madmen in the middle of those mountains.,Alliteration
Most monsters don’t mind making messes.,Alliteration
My neighbors are not normally noisy.,Alliteration
I knew that she’d be a natural at kneading the noodle dough.,Alliteration
The ninjas gnashed their knives and nailed their targets.,Alliteration
The newt nuzzled in a narrow nook.,Alliteration
Mom nabbed her niece by the nape of her neck.,Alliteration
The prince pressed the royal seal on the purple parchment.,Alliteration
A paper plane passed over my head.,Alliteration
The parrot perched upon the pirate’s peacoat.,Alliteration
Sue went to the party and pretended that she was people person.,Alliteration
The girls played patty-cake on the park bench.,Alliteration
The red roses were wrapped in ribbons.,Alliteration
She rarely reads; she’d rather write her own books.,Alliteration
A radar ring rippled across the monitor.,Alliteration
Those ravenous research rabbits have gone rabid!,Alliteration
The reporter wrote about the rebel raid.,Alliteration
The snake slithered across the sandy seaside.,Alliteration
My sassy sister slapped the villain silly.,Alliteration
That’s the sound of someone sipping soup for supper.,Alliteration
She sniffed and smelled sage and sassafras.,Alliteration
"Seeking sanctuary, they formed a circle of spears.",Alliteration
She should share her sherbert with her sister.,Alliteration
A shard of shrapnel shaved her shoulder blade.,Alliteration
The sheep were schlepping shyly by the shark tank.,Alliteration
He found a shell that even shimmered in the shade.,Alliteration
The sheriff wore a shiny star shaped shield.,Alliteration
The store clerk stood and stared at me in stupor.,Alliteration
She stuck the stolen stapler in her suitcase.,Alliteration
The students threw stones through the stained glass steeple.,Alliteration
Everything rested on the strength of the steel structure.,Alliteration
Stern winds strew still waters.,Alliteration
The teacher took the troublemakers’ toys.,Alliteration
They trounced us in the tried and true tradition.,Alliteration
The tattle-tale tried to tell the teacher.,Alliteration
Try the turkey tacos; they’re quite tasty.,Alliteration
The tornado tossed the trailer like a trash can.,Alliteration
The vapid vixen vented her various vexations.,Alliteration
Valiance is a virtue often vacant from these vermin.,Alliteration
We viewed the verdant valleys vaunted vegetation.,Alliteration
The ventriloquist varied his voice vociferously.,Alliteration
Her views on vices were vaguely veiled at best.,Alliteration
The wind was whistling through the weeping willows.,Alliteration
Construction workers whistled at the women.,Alliteration
We welcomed all the wise men from the West.,Alliteration
Don’t wage a war of words against the world.,Alliteration
The waffles worsened while the waiter waited.,Alliteration
In her youth she yearned to wander yonder Europe.,Alliteration
I’m used to yelling at you yellowbellies.,Alliteration
Your usefulness was used up yesterday.,Alliteration
My zodiac was zooming toward the zenith.,Alliteration
The xanthous xenophobes were overzealous.,Alliteration
The player zipped by the zonal defense and zeroed in on the end zone.,Alliteration
Your enemy’s friend is your enemy.,Paradox
I am nobody.,Paradox
What a pity that youth must be wasted on the young.,Paradox
Wise fool,Paradox
"Truth is honey, which is bitter.",Paradox
I can resist anything but temptation.,Paradox
"All animals are equal, but some are more equal than others.",Paradox
I must be cruel to be kind.,Paradox
"The earth that’s nature’s mother is her tomb; What is her burying grave, that is Rainbow in her womb…",Paradox
The child is father of the man…,Paradox
Save money by spending it.,Paradox
"If I know one thing, it's that I know nothing.",Paradox
This is the beginning of the end.,Paradox
"Deep down, you're really shallow.",Paradox
I'm a compulsive liar.,Paradox
Men work together whether they work together or apart.,Paradox
What a pity that youth must be wasted on the young.,Paradox
I can resist anything but temptation.,Paradox
A rich man is no richer than a beggar.,Paradox
I'm a liar. How do you know if I'm telling the truth?,Paradox
Don't go near the water until you've learned to swim.,Paradox
"If a person says about himself that he always lies, is that the truth or a lie??? ",Paradox
The man who wrote such a stupid sentence cannot write at all.,Paradox
"Nobody goes to that restaurant, it's too crowded. ",Paradox
Dark knows daylight. ,Paradox
"Extreme rationalism, by 'seeing through' all 'rational' motives, leaves us creatures of wholly irrational behavior. ",Paradox
"Freedom is not doing what you want, freedom is wanting to do what you have to do ... this kind of freedom is always rooted in practiced habit. ",Paradox
To believe with certainty we must begin with doubting. ,Paradox
Each new power won by man (over nature) is a power over man as well. Each advance leaves him weaker as well as stronger. ,Paradox
The final rule you need to remember is to ignore all rules.,Paradox
The second sentence is false. The first sentence is true.,Paradox
"All animals are equal, but some are more equal than others.",Paradox
Nobody goes to Murphy’s Bar anymore — it’s too crowded.,Paradox
A time traveler goes back in time and murders his own great-grandfather.,Paradox
I close my eyes so I can see.,Paradox
"Whatever you do will be insignificant, but it is very important that you do it.",Paradox
It’s weird not to be weird.,Paradox
Life is a preparation for the future; and the best preparation for the future is to live as if there were none.,Paradox
My only love sprung from my only hate!,Paradox
To be natural is such a very difficult pose to keep up.,Paradox
I can resist everything except temptation.,Paradox
The stars danced playfully in the moonlit sky.,Personifiation
"While making my way to my car, it smiled at me mischievously.",Personifiation
The run-down house appeared depressed.,Personifiation
"The car, painted lime green, raced by screaming for attention.",Personifiation
The first rays of morning tiptoed through the meadow.,Personifiation
The butterflies in the meadow seemed to two-step with one another.,Personifiation
She did not realize that opportunity was knocking at her door.,Personifiation
The waffle jumped up out of the toaster.,Personifiation
He did not realize that his last chance was walking out the door.,Personifiation
The popcorn leapt out of the bowl.,Personifiation
The bees played hide and seek with the flowers as they buzzed from one to another.,Personifiation
"When the DVD went on sale, it flew off the shelves.",Personifiation
The wind howled its mighty objection.,Personifiation
I tripped because the curb jumped out in front of me.,Personifiation
The snow swaddled the earth like a mother would her infant child.,Personifiation
Time creeps up on you.,Personifiation
The river swallowed the earth as the water continued to rise higher and higher.,Personifiation
The news took me by surprise.,Personifiation
"Time flew and before we knew it, it was time for me to go home.",Personifiation
The fire ran wild.,Personifiation
The ocean waves lashed out at the boat and the storm continued to brew.,Personifiation
The thunder clapped angrily in the distance.,Personifiation
My computer throws a fit every time I try to use it.,Personifiation
The tornado ran through town without a care.,Personifiation
The thunder grumbled like an old man.,Personifiation
The door protested as it opened slowly.,Personifiation
The flowers waltzed in the gentle breeze.,Personifiation
The evil tree was lurking in the shadows.,Personifiation
Her life passed her by.,Personifiation
The tree branch moaned as I swung from it.,Personifiation
The sun glared down at me from the sky.,Personifiation
Time marches to the beat of its own drum.,Personifiation
The moon winked at me through the clouds above.,Personifiation
The storm attacked the town with great rage.,Personifiation
The wind sang through the meadow.,Personifiation
My life came screeching to a halt.,Personifiation
The car was suffering and was in need of some TLC.,Personifiation
The baseball screamed all the way into the outfield.,Personifiation
At precisely 6:am my alarm clock sprang to life.,Personifiation
The blizzard swallowed the town.,Personifiation
The window panes were talking as the wind blew through them.,Personifiation
The tsunami raced towards the coastline.,Personifiation
The ocean danced in the moonlight.,Personifiation
The avalanche devoured everything in its path.,Personifiation
The words leapt off of the paper as she read the story.,Personifiation
The pistol glared at me from its holster.,Personifiation
The phone awakened with a mighty ring.,Personifiation
The car beckoned me from across the showroom.,Personifiation
The funeral raced by me in a blur.,Personifiation
I could hear Hawaii calling my name.,Personifiation
Lightning danced across the sky.,Personifiation
The wind howled in the night.,Personifiation
The car complained as the key was roughly turned in its ignition.,Personifiation
Rita heard the last piece of pie calling her name.,Personifiation
My alarm clock yells at me to get out of bed every morning.,Personifiation
The avalanche devoured anything standing in its way.,Personifiation
The door protested as it opened slowly.,Personifiation
My house is a friend who protects me.,Personifiation
The moon played hide and seek with the clouds.,Personifiation
The approaching car's headlights winked at me.,Personifiation
The camera loves her since she is so pretty.,Personifiation
The stairs groaned as we walked on them.,Personifiation
Our vacuum hums a happy tune while it cleans.,Personifiation
My flowers were begging f,Personifiation
Kleenex says bless youor water.,Personifiation
The ivy wove its fingers around the fence.,Personifiation
The thunder was grumbling in the distance.,Personifiation
The cactus saluted those who drove past.,Personifiation
The wildfire ran through the forest at an amazing speed.,Personifiation
The moon smiled at the stars in the sky.,Personifiation
The leaves waved in the wind.,Personifiation
Time flies when you're having fun.,Personifiation
The fog comes on little cat feet. It sits looking over harbor and city on silent haunches and then moves on.,Personifiation
"Hey, diddle, diddle, The cat and the fiddle, The cow jumped over the moon; The little dog laughed To see such sport, And the dish ran away with the spoon.",Personifiation
The night was creeping on the ground! She crept and did not make a sound.,Personifiation
And then one day the boy came back and the tree shook with joy.,Personifiation
"I think for a while. It's hard to put into words. Gorillas are not complainers. We're dreamers, poets, philosophers, nap takers.",Personifiation
Milk's favorite cookie is orea,Personifiation
Nothing hugs like Huggies,Personifiation
The snack that smiles back is Goldfish snack crackers,Personifiation
The car that cares,Personifiation
"Carvel ice cream, it's what happy tastes like - Carvel ice cream",Personifiation
"Look at my car. She is a beauty, isn’t she?",Personifiation
The wind whispered through dry grass.,Personifiation
The flowers danced in the gentle breeze.,Personifiation
Time and tide wait for none.,Personifiation
The fire swallowed the entire forest.,Personifiation
The shadow of the moon danced on the lake.,Personifiation
"There was a heavy thunderstorm, the wind snorted outside, rattling my windowpanes.",Personifiation
"The flowers were blooming, and the bees kissed them every now and then.",Personifiation
The flood raged over the entire village.,Personifiation
The tread of time is so ruthless that it tramples even the kings under its feet.,Personifiation
It was early morning – I met a cat yawning and stretching in the street.,Personifiation
The skyscraper was so tall that it seemed to kiss the sky.,Personifiation
"The tree was pulled down, and the birds lamented over its dead body.",Personifiation
The tall pines in the hilly area fondled the clouds.,Personifiation
"The long road to his home was a twisting snake, with no visible end.",Personifiation
The full moon peeped through partial clouds.,Personifiation
"His car suffered a severe stroke in the middle of the road, and refused to move forward.",Personifiation
The ship danced over the undulating waves of the ocean.,Personifiation
"When he sat the test, the words and the ideas fled from his mind.",Personifiation
"When he came out of the house of his deceased friend, everything looked to him to be weeping.",Personifiation
When well-appareled April on the heel Of limping winter treads.,Personifiation
"Loveliest of trees, the cherry now Is hung with bloom along the bough, And stands about the woodland ride Wearing white for Eastertide.",Personifiation
"Have you got a brook in your little heart, Where bashful flowers blow, And blushing birds go down to drink, And shadows tremble so?",Personifiation
Pearl Button swung on the little gate in front of the House of Boxes. It was the early afternoon of a sunshiny day with little winds playing hide-and-seek in it.,Personifiation
"Two Sunflowers Move in the Yellow Room. ‘Ah, William, we’re weary of weather,’ said the sunflowers, shining with dew. Our traveling habits have tired us. Can you give us a room with a view?",Personifiation
"April is the cruellest month, breeding Lilacs out of the dead land, mixing Memory and desire, stirring Dull roots with spring rain.",Personifiation
The stars winked in the night sky.,Personifiation
The bridge stretched over the interstate.,Personifiation
The cave mouth yawned.,Personifiation
The stars danced playfully in the moonlit sky.,Personifiation
Opportunity was knocking at her door.,Personifiation
At precisely 06:30 my alarm clock sprang to life.,Personifiation
The tornado ran through town without a care.,Personifiation
The tsunami raced towards the coastline.,Personifiation
The sun smiled and chased away the angry clouds.,Personifiation
The pencil danced across the paper.,Personifiation
The moon smiled upon the river.,Personifiation
The words hesitated to escape his mouth.,Personifiation
The sun was getting ready to take its nightly nest.,Personifiation
My mind kept on whispering to me to carry on.,Personifiation
Justice is blind,Personifiation
Her heart skipped a beat,Personifiation
The sun smiled down on them,Personifiation
The stars winked,Personifiation
The party died down,Personifiation
The city never sleeps,Personifiation
The wind howled,Personifiation
The iron gates looked down at them cruelly,Personifiation
The house sighed,Personifiation
The car sputtered and coughed before starting,Personifiation
"Her heart was divided between concern for her sister, and resentment against all the others.",Personifiation
"Justice is blind and, at times, deaf.",Personifiation
Money is the only friend that I can count on.,Personifiation
The cactus saluted any visitor brave enough to travel the scorched land.,Personifiation
Jan ate the hotdog despite the arguments it posed to her digestive system.,Personifiation
The world does not care to hear your sad stories.,Personifiation
"After freedom’s sweet kiss, she could never return to the doldrums of the factory.",Personifiation
Peggy heard the last piece of cheesecake in the refrigerator calling her name.,Personifiation
The sorry engine wheezed its death cough.,Personifiation
Drugs dragged him into this place and they wouldn’t let him leave alive.,Personifiation
The buses can be impatient around here.,Personifiation
These casinos are always hungry enough to eat your dinner.,Personifiation
He sang a lonely song to the moonlight.,Personifiation
The candle flame danced in the dark.,Personifiation
Thunder grumbled and raindrops reported for duty.,Personifiation
The moon turned over to face the day.,Personifiation
"As fall turned to winter, the trees found themselves wearing white.",Personifiation
The brown grass was begging for water.,Personifiation
Our society needs strong leaders.,Personifiation
One unhappy icicle wasted away in the day.,Personifiation
The sunflowers nodded in the wind.,Personifiation
Most pianos have pretty good manners but Stephan can make them sound rude.,Personifiation
The traffic noises argued long into the night and finally Cal went to sleep.,Personifiation
The angry storm pounded the tin shelter.,Personifiation
A school of rainbow trout swam across the mouth of the river.,Personifiation
The silence crept into the classroom.,Personifiation
"Father Time can always catch up to you, no matter how fast you run.",Personifiation
This city never sleeps.,Personifiation
The sun stretched its golden arms across the plains.,Personifiation
My heart has been skipping around in my chest since I saw her.,Personifiation
"The child of morning, rosy fingered dawn, appeared.",Personifiation
Any trust I had for him walked right out the door.,Personifiation
And with those four words her happiness died.,Personifiation
The cigarettes stole his health and spent it on phlegm.,Personifiation
Kiss your integrity goodbye.,Personifiation
The trees dropped their leaves and rested.,Personifiation
I overheard the streets talking about you.,Personifiation
Winter’s icy grip squeezed his rib cage.,Personifiation
The business world would chew you up and spit you out.,Personifiation
The clouds pushed each other around in the sky.,Personifiation
He had little to live for now that his dreams were dead.,Personifiation
The smell of smoke tattled on the delinquent.,Personifiation
The wind whispered the rumors of the forest.,Personifiation
The jittery hands of corruption orchestrated the affairs at city hall.,Personifiation
Still waters shivered in the wind.,Personifiation
Those greedy weeds have starved the petunias.,Personifiation
A case of cupcakes can be quite charming to an empty stomach.,Personifiation
December light is brief and uncharitable.,Personifiation
This morning had friendly greetings for peaceful sleepers.,Personifiation
The party died as soon as she left.,Personifiation
Light had conquered darkness.,Personifiation
"Flames surrounded the house, licking and devouring it whole.",Personifiation
Personification Examples,Personifiation
The books murmured their stories from her shelf.,Personifiation
Personification Examples,Personifiation
Every photo in the album hides a secret.,Personifiation
The cat glared at the new kitten like a jealous girlfriend.,Personifiation
The sand stretched out its long limbs beside the water’s edge.,Personifiation
"Crouching low, the old cottage looked bent to its knees.",Personifiation
The sky wept tears of joy.,Personifiation
Cookies and cakes called to him from the display case: “eat us up!”,Personifiation
Her silken dress whispered and sighed as she settled into the chair.,Personifiation
The skyscrapers punched the blue sky.,Personifiation
"In the early morning light, time was patient with the new mother and her child.",Personifiation
His voice filled up the house like an army of soldiers sent to attack.,Personifiation
My dog studied the grass as if he was an architect preparing blueprints.,Personifiation
The car horn squealed to alert us that they’d finally arrived.,Personifiation
"These are the lips of the lake, on which no beard grows. It licks its chops from time to time.",Personifiation
The fog comes  on little cat feet.,Personifiation
April is the cruelest month.,Personifiation
"When it comes, the landscape listens, Shadows hold their breath",Personifiation
"‘Ah, William, we’re weary of weather, said the sunflowers, shining with dew.  Our traveling habits have tired us.  Can you give us a room with a view?",Personifiation
The woods are getting ready to sleep—they are not yet asleep but they are disrobing and are having all sorts of little bed-time conferences and whisperings and good-nights.,Personifiation
Five-fingered ferns hung over the water and dropped spray from their fingertips.,Personifiation
"Hadn’t she known that something good was going to happen to her that morning–hadn’t she felt it in every touch of the sunshine, as its golden finger-tips pressed her lids open and wound their way through her hair?",Personifiation
"Is love a tender thing? It is too rough, too rude, too boisterous, and it pricks like thorn.",Personifiation
"Pink is what red looks like when it kicks off its shoes and lets its hair down. Pink is the boudoir color, the cherubic color, the color of Heaven’s gates. . ”. . Pink is as laid back as beige, but while beige is dull and bland, pink is laid back with attitude.",Personifiation
"The teapot sang as the water boiled,  The ice cubes cackled in their glass,  The teacups chattered to one another,  While the chairs were passing gas.",Personifiation
"The glacier knocks in the cupboard,  The desert sighs in the bed,  And the crack in the tea-cup opens  A lane to the land of the dead.",Personifiation
"I am silver and exact. I have no preconceptions.  Whatever I see, I swallow immediately.  Just as it is, unmisted by love or dislike  I am not cruel, only truthful ",Personifiation
Even the dirt kept breathing a small breath.,Personifiation
The shattered water made a misty din. Great waves looked over others coming in.,Personifiation
The grease jumped out of the pan.,Personifiation
The curtains danced in the breeze.,Personifiation
"The tree branch scratched and clawed at my windowsill, trying to break into the house.",Personifiation
"During the night, the blanket crept up until it was snuggled under my chin and my feet were bare.",Personifiation
"The mother duck scolded her young, encouraging them to walk in a line.",Personifiation
"The diving board taunted me, daring me to approach.",Personifiation
The vintage chair groaned under the weight of the big dog.,Personifiation
The puppy danced with joy when it was finally given to its new owner.,Personifiation
The fire swallowed the entire village and it left a lot of families homeless.,Personifiation
The plants danced and waved as I watered all over it.,Personifiation
Our religion does not allow our family to eat pig’s meat.,Personifiation
The winds shrieked and screamed on a windy Wednesday evening,Personifiation
The leaves swayed along with the movement of the wind.,Personifiation
The roller coaster ride taunted and challenged me to hop in and take a ride.,Personifiation
The oil leaped out of the pan as I was frying the fish for dinner.,Personifiation
The alarm clock keeps on yelling at my sister for the entire hour because she was such in a deep sleep.,Personifiation
"Like the children playing, the moon also had its hide and seek game with the big clouds in the sky.",Personifiation
The water gurgles as it is about to reach its boiling point.,Personifiation
The dry lands of the farm are begging for its much-needed water.,Personifiation
The largest city in the country never sleeps even at night.,Personifiation
The bright orange sun smiles as it welcomes a new day.,Personifiation
I was saying exactly the same thing to my wafer thin ham earlier.,Personifiation
"“Food?”  Chris inquired, popping out of his seat like a toaster strudel.",Hyperbola
Grandpa lounged on the raft in the middle of the pool like an old battleship.,Hyperbola
"If seen from above the factory, the workers would have looked like clock parts.",Hyperbola
The truth was like a bad taste on his tongue.,Hyperbola
The people who still lived in the town were stuck in place like wax statues.,Hyperbola
Cassie talked to her son about girls as though she were giving him tax advice.,Hyperbola
"Alan’s jokes were like flat soda to the children, surprisingly unpleasant.",Hyperbola
"My mother’s kitchen was like a holy place: you couldn’t wear your shoes, you had to sit there at a certain time, and occasionally we’d pray.",Hyperbola
The bottle rolled off the table like a teardrop.,Hyperbola
The handshake felt like warm laundry.,Hyperbola
She hung her head like a dying flower.,Hyperbola
Arguing with her was like dueling with hand grenades.,Hyperbola
The classroom was as quiet as a tongue-tied librarian in a hybrid car.,Hyperbola
Janie’s boyfriend appreciated her as an ape might appreciate an algebra book.,Hyperbola
The clouds were like ice-cream castles in the sky.,Hyperbola
The shingles on the shack shook in the storm winds like scared children.,Hyperbola
"When he reached the top of the hill, he felt as strong as a steel gate.",Hyperbola
"When the tree branch broke, Millie fell from the limb like a robin’s egg.",Hyperbola
She swam through the waters like she was falling through a warm dream.,Hyperbola
They children ran like ripples through water.,Hyperbola
Mikhail scattered his pocket change in front of the beggars like crumbs of bread.,Hyperbola
Her hair was as soft as a spider web.,Hyperbola
Each dollar bill was a like a magic wand to cast away problems.,Hyperbola
The man held the blanket like a memory.,Hyperbola
The ice sculptor’s hands fluttered like hummingbird wings.,Hyperbola
I’m about as awesome as a flying giraffe.,Hyperbola
You are soft as the nesting dove.,Hyperbola
Andre charged down the football field like it was the War of 1812.,Hyperbola
The stars looked like stupid little fish.,Hyperbola
Her laughter was like a warm blanket or a familiar song.,Hyperbola
The river flows like a stream of glass,Hyperbola
Blood seeped out of the wound like red teardrops.,Hyperbola
Paul carried his science project to school like he was transporting explosive glass.,Hyperbola
She looked at me like I was speaking in some strange alien tongue.,Hyperbola
The town square was buzzing like a beehive.,Hyperbola
Kelsey followed her dreams like most kids would follow a big sister.,Hyperbola
Kyle looked at the test with a stare as blank as his notebook.,Hyperbola
"The robins are as thick today as flakes of snow were yesterday,",Hyperbola
Her eyes are like the eyes of statues.,Hyperbola
The gray moss drapes us like sages.,Hyperbola
The music burst like a bent-up flood.,Hyperbola
The curtains stir as with an ancient pain.,Hyperbola
But now her hands like moonlight brush the keys with velvet grace.,Hyperbola
I flitted like a dizzy moth.,Hyperbola
The flowers were as soft as thoughts of budding love.,Hyperbola
